Employee ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating,Latitude,Longitude
00-36503453,Rebecca,Young,Female,North Carolina,Greensboro,Bachelor,25/07/1971,07/03/2019,03/02/2024,Marketing,SEO Specialist,43525.27,Good,36.0726,-79.792
00-82638437,Timothy,Gallegos,Female,New York,Buffalo,High School,05/11/1975,26/08/2019,11/01/2023,Operations,Operations Analyst,77273.95,Good,42.8864,-78.8784
00-98239139,Ryan,Kane,Male,North Carolina,Raleigh,High School,06/01/1967,12/01/2022,20/02/2025,Finance,Financial Analyst,54865.27,Good,35.7796,-78.6382
00-45276732,Dale,Weber,Female,North Carolina,Raleigh,Bachelor,16/10/1974,23/09/2019,,Operations,Logistics Coordinator,89105.59,Excellent,35.7796,-78.6382
00-46134925,Joshua,Young,Female,Texas,Houston,Bachelor,21/12/1985,04/05/2022,27/12/2023,Operations,Logistics Coordinator,105637.93,Satisfactory,29.7604,-95.3698
00-36724037,Katherine,Foster,Female,New York,New York City,High School,14/11/1994,15/01/2018,26/08/2024,IT,Software Engineer,115588.41,Needs Improvement,40.7128,-74.006
00-20222874,Frederick,Nelson,Female,Texas,Austin,High School,13/01/1993,06/06/2019,,Customer Service,Customer Support Specialist,80385.01,Satisfactory,30.2672,-97.7431
00-29295195,Christine,Hernandez,Female,North Carolina,Greensboro,PhD,24/11/1982,10/11/2016,,HR,Training Coordinator,77723.6,Good,36.0726,-79.792
00-60862654,Katherine,Young,Male,Texas,Austin,PhD,17/02/1983,13/06/2025,12/10/2022,Finance,Accountant,114578.2,Satisfactory,30.2672,-97.7431
00-66657638,Ashley,Williams,Male,North Carolina,Greensboro,PhD,17/01/1992,15/12/2021,13/07/2024,IT,System Administrator,87568.71,Excellent,36.0726,-79.792
00-16006145,Zachary,Thompson,Male,Texas,Austin,Bachelor,15/07/1998,11/08/2019,05/07/2024,HR,Recruiter,106019.09,Excellent,30.2672,-97.7431
00-32504670,Randall,Fowler,Female,Texas,Austin,PhD,11/02/1991,28/06/2018,,Marketing,SEO Specialist,49988.9,Good,30.2672,-97.7431
00-53099658,Haley,Ortiz,Male,New York,Rochester,PhD,19/04/1965,08/07/2024,20/05/2023,Marketing,SEO Specialist,93224.5,Satisfactory,43.1566,-77.6088
00-35058440,Julie,Miller,Female,New York,Buffalo,Bachelor,16/05/1995,16/05/2017,27/07/2023,Customer Service,Help Desk Technician,80612.39,Good,42.8864,-78.8784
00-97022166,Jessica,Houston,Male,California,Los Angeles,Master,08/08/1979,03/11/2018,,Finance,Accountant,79361.92,Needs Improvement,34.0522,-118.2437
00-26373633,Nicole,Brown,Male,California,San Francisco,High School,28/08/1986,20/10/2024,14/07/2022,Customer Service,Customer Support Specialist,77439.58,Good,37.7749,-122.4194
00-99851217,Stephanie,Atkinson,Male,New York,Rochester,Bachelor,18/04/1996,16/09/2017,21/02/2024,Operations,Logistics Coordinator,65177.85,Good,43.1566,-77.6088
00-44985791,Diana,Wilson,Male,North Carolina,Charlotte,Bachelor,28/01/1965,25/08/2018,28/11/2022,Operations,Inventory Specialist,117659.32,Satisfactory,35.2271,-80.8431
00-31606822,Meghan,Hall,Female,California,Los Angeles,Bachelor,27/08/1979,22/12/2015,27/03/2025,Marketing,Content Strategist,77024.95,Needs Improvement,34.0522,-118.2437
00-88105642,Sherry,Calhoun,Female,New York,Rochester,Bachelor,05/06/1970,25/08/2015,03/06/2021,IT,System Administrator,52434.48,Needs Improvement,43.1566,-77.6088
00-42273455,Melissa,Peters,Male,California,San Francisco,Master,28/07/1981,07/09/2018,,IT,Network Analyst,99106.0,Excellent,37.7749,-122.4194
00-69838244,Katherine,Robles,Male,New York,Buffalo,PhD,24/03/1999,22/11/2023,26/05/2023,HR,Recruiter,46728.07,Needs Improvement,42.8864,-78.8784
00-98184318,Edward,Reyes,Male,North Carolina,Greensboro,High School,13/02/1973,28/06/2017,,HR,HR Specialist,43379.78,Good,36.0726,-79.792
00-18736989,John,Morrison,Male,California,Los Angeles,Master,17/07/1986,02/03/2022,07/03/2024,Marketing,Marketing Coordinator,43029.26,Needs Improvement,34.0522,-118.2437
00-94090609,Brendan,Lucero,Female,New York,Rochester,High School,23/01/1985,14/08/2024,12/10/2021,Operations,Inventory Specialist,49860.62,Satisfactory,43.1566,-77.6088
00-49181045,Corey,Tucker,Female,California,Los Angeles,High School,13/07/1993,06/07/2018,20/01/2025,IT,System Administrator,91465.77,Needs Improvement,34.0522,-118.2437
00-85657706,Carl,Crawford,Male,North Carolina,Raleigh,PhD,30/05/2000,20/08/2020,08/10/2020,Finance,Accounts Payable Specialist,111377.76,Excellent,35.7796,-78.6382
00-23002066,Patrick,Johnson,Female,California,San Diego,PhD,23/01/2000,17/06/2017,07/02/2021,IT,System Administrator,111546.99,Excellent,32.7157,-117.1611
00-74062049,Mark,Mosley,Female,New York,New York City,Bachelor,12/08/1982,02/04/2022,22/05/2022,HR,Training Coordinator,63003.0,Excellent,40.7128,-74.006
00-88541868,Elizabeth,Jefferson,Female,New York,Rochester,Master,12/01/1979,20/10/2023,28/07/2024,Finance,Accounts Payable Specialist,70095.1,Needs Improvement,43.1566,-77.6088
00-90010137,Jonathan,Miller,Male,California,San Diego,Bachelor,14/11/1974,02/07/2024,23/06/2025,HR,Training Coordinator,41628.53,Good,32.7157,-117.1611
00-10658995,Sarah,Deleon,Female,North Carolina,Greensboro,High School,11/04/1968,06/10/2015,11/05/2024,Operations,Logistics Coordinator,81945.95,Satisfactory,36.0726,-79.792
00-16444764,James,Morris,Female,Texas,Houston,PhD,23/05/1967,06/12/2019,,IT,Network Analyst,91963.77,Good,29.7604,-95.3698
00-37577469,John,Marshall,Female,North Carolina,Greensboro,Master,30/08/1994,15/09/2020,25/12/2020,Operations,Inventory Specialist,64000.33,Needs Improvement,36.0726,-79.792
00-62055933,Steven,Ballard,Female,Texas,Houston,High School,13/05/1966,03/07/2020,,IT,Software Engineer,43479.04,Needs Improvement,29.7604,-95.3698
00-58067354,Rebecca,Johnson,Female,North Carolina,Charlotte,Master,25/07/1998,17/01/2019,08/07/2021,Customer Service,Help Desk Technician,90144.55,Excellent,35.2271,-80.8431
00-65164767,Jose,Johnson,Female,Texas,Dallas,PhD,04/05/1978,02/09/2015,22/10/2024,IT,Network Analyst,81818.92,Satisfactory,32.7767,-96.797
00-28273311,Jeff,Rogers,Female,North Carolina,Raleigh,Master,02/02/1996,08/03/2023,30/12/2020,Operations,Inventory Specialist,94994.77,Good,35.7796,-78.6382
00-17104046,Linda,Moreno,Female,California,Los Angeles,High School,15/10/1986,02/05/2017,,Marketing,SEO Specialist,67443.47,Needs Improvement,34.0522,-118.2437
00-49047782,Ronnie,Williams,Female,California,Los Angeles,Bachelor,03/03/1979,17/04/2018,05/06/2023,HR,Recruiter,109507.27,Excellent,34.0522,-118.2437
00-41351513,Jonathan,Howard,Female,North Carolina,Raleigh,High School,28/04/1993,08/06/2016,26/11/2020,Customer Service,Help Desk Technician,51706.5,Good,35.7796,-78.6382
00-87362013,James,Petersen,Male,New York,Buffalo,High School,17/06/1995,10/03/2020,,Marketing,Marketing Coordinator,49331.13,Needs Improvement,42.8864,-78.8784
00-31861454,Steven,Alvarado,Male,Texas,Houston,Bachelor,21/06/1982,21/07/2016,02/05/2025,Operations,Operations Analyst,60298.52,Good,29.7604,-95.3698
00-68069841,Ethan,Alexander,Female,California,San Francisco,PhD,15/02/1985,11/12/2021,16/11/2020,Marketing,Marketing Coordinator,99172.25,Satisfactory,37.7749,-122.4194
00-88825737,Michelle,Stewart,Male,Texas,Dallas,High School,15/06/1986,20/04/2018,,Marketing,Content Strategist,87280.69,Excellent,32.7767,-96.797
00-39472880,Rachel,Ross,Female,Texas,Dallas,High School,02/01/2003,02/01/2024,,HR,Recruiter,117169.97,Excellent,32.7767,-96.797
00-64725862,Anna,Morales,Female,Texas,Austin,Master,13/04/1986,25/03/2024,03/08/2025,HR,Recruiter,70538.34,Needs Improvement,30.2672,-97.7431
00-82541595,Adam,Gentry,Male,California,San Diego,High School,29/12/2002,10/08/2018,24/07/2025,IT,Network Analyst,73590.8,Excellent,32.7157,-117.1611
00-24233661,Michael,Watson,Male,California,Los Angeles,PhD,17/11/1983,29/08/2023,,Finance,Financial Analyst,116766.54,Needs Improvement,34.0522,-118.2437
00-96360964,Cody,Kane,Male,North Carolina,Raleigh,PhD,21/01/1994,20/06/2025,10/02/2025,Operations,Inventory Specialist,75893.86,Satisfactory,35.7796,-78.6382
00-26868259,Daniel,Contreras,Male,California,Los Angeles,Bachelor,21/05/1994,25/04/2023,30/05/2025,Marketing,Marketing Coordinator,80991.14,Satisfactory,34.0522,-118.2437
00-62806569,Amy,Allen,Female,Texas,Houston,PhD,04/03/1996,21/10/2019,,Operations,Logistics Coordinator,114410.49,Satisfactory,29.7604,-95.3698
00-35390057,Stefanie,Sanchez,Female,New York,Rochester,Master,24/07/1987,23/07/2021,23/07/2021,Marketing,Marketing Coordinator,59595.55,Excellent,43.1566,-77.6088
00-89367073,Stephanie,Harvey,Male,Texas,Dallas,Master,16/12/1969,19/12/2019,,HR,Training Coordinator,109927.04,Excellent,32.7767,-96.797
00-60929889,Lorraine,Steele,Female,North Carolina,Charlotte,High School,19/11/1986,13/02/2020,,Operations,Logistics Coordinator,106050.07,Satisfactory,35.2271,-80.8431
00-67037500,Marissa,Delacruz,Female,Texas,Austin,Bachelor,21/10/1968,01/03/2022,27/03/2022,Marketing,Marketing Coordinator,92304.57,Excellent,30.2672,-97.7431
00-87758714,Tracy,Poole,Male,New York,New York City,Bachelor,02/02/1994,11/06/2019,,IT,Network Analyst,85246.65,Excellent,40.7128,-74.006
00-86244842,David,Taylor,Male,Texas,Dallas,High School,18/09/1973,15/11/2019,09/08/2023,HR,Recruiter,103218.09,Excellent,32.7767,-96.797
00-89998570,Christina,Taylor,Female,Texas,Dallas,High School,04/11/1965,23/05/2023,25/06/2021,Finance,Accounts Payable Specialist,116702.42,Satisfactory,32.7767,-96.797
00-39701919,John,Bartlett,Female,California,San Diego,Master,20/04/1994,12/05/2025,05/08/2023,IT,Network Analyst,114405.29,Needs Improvement,32.7157,-117.1611
00-15924981,Shane,Austin,Male,North Carolina,Raleigh,Master,09/12/1983,24/03/2021,15/04/2024,Customer Service,Help Desk Technician,107687.48,Good,35.7796,-78.6382
00-92429154,Morgan,Bates,Female,California,San Diego,Bachelor,21/02/1975,02/10/2020,06/04/2022,Marketing,Content Strategist,70738.32,Excellent,32.7157,-117.1611
00-67767247,John,Moore,Male,Texas,Dallas,Bachelor,20/04/1995,11/05/2021,10/12/2023,Marketing,SEO Specialist,60191.37,Excellent,32.7767,-96.797
00-49325045,Daniel,Moyer,Female,New York,Buffalo,PhD,18/06/2000,27/04/2020,06/04/2023,Marketing,Marketing Coordinator,83852.75,Needs Improvement,42.8864,-78.8784
00-97100865,Lisa,Moore,Male,New York,New York City,High School,20/10/1993,18/07/2022,13/05/2021,HR,Recruiter,99713.12,Needs Improvement,40.7128,-74.006
00-70668767,Diana,Ellis,Male,New York,Buffalo,High School,26/12/1971,18/07/2025,17/07/2021,Marketing,SEO Specialist,90247.42,Excellent,42.8864,-78.8784
00-75982856,Cassandra,Dodson,Female,California,Los Angeles,Master,07/09/1979,08/12/2015,05/11/2020,HR,Training Coordinator,93102.46,Good,34.0522,-118.2437
00-38933213,Jennifer,Ward,Male,New York,New York City,Bachelor,09/08/2000,05/04/2024,,Operations,Operations Analyst,119428.24,Good,40.7128,-74.006
00-88141120,Angela,Gomez,Male,North Carolina,Raleigh,Bachelor,24/01/1996,20/08/2016,10/03/2023,Finance,Accounts Payable Specialist,105270.28,Excellent,35.7796,-78.6382
00-27300100,Christina,Vazquez,Female,California,Los Angeles,Bachelor,07/08/1981,30/05/2016,,Customer Service,Customer Support Specialist,97691.69,Needs Improvement,34.0522,-118.2437
00-70179855,Hannah,Coleman,Female,California,Los Angeles,PhD,26/10/1979,02/02/2017,03/12/2021,Finance,Financial Analyst,76200.67,Good,34.0522,-118.2437
00-87845898,Nicole,Warner,Male,California,San Francisco,Bachelor,23/10/1982,05/03/2024,10/09/2023,Operations,Logistics Coordinator,67271.77,Good,37.7749,-122.4194
00-20122553,Erika,Williamson,Female,New York,Rochester,Master,16/01/1990,11/05/2025,01/11/2021,Operations,Logistics Coordinator,64914.88,Satisfactory,43.1566,-77.6088
00-41873337,Dustin,Anderson,Female,Texas,Austin,PhD,25/12/1969,28/11/2022,18/05/2021,Operations,Inventory Specialist,114126.92,Needs Improvement,30.2672,-97.7431
00-80715253,Denise,May,Male,Texas,Dallas,Bachelor,06/09/1985,31/10/2015,,HR,Recruiter,46607.46,Satisfactory,32.7767,-96.797
00-70143058,William,Scott,Female,Texas,Dallas,High School,03/01/1973,26/03/2021,,HR,Training Coordinator,43308.2,Satisfactory,32.7767,-96.797
00-67861724,Richard,Long,Female,California,San Francisco,Master,17/06/1999,10/07/2020,04/07/2021,Operations,Inventory Specialist,52552.35,Excellent,37.7749,-122.4194
00-54343296,Kimberly,Marquez,Male,California,San Francisco,PhD,07/01/1987,27/01/2023,,HR,Training Coordinator,42418.9,Good,37.7749,-122.4194
00-25965435,Juan,Smith,Male,New York,Rochester,PhD,23/09/1985,13/04/2021,09/04/2025,Finance,Accountant,68524.8,Needs Improvement,43.1566,-77.6088
00-63101039,Alexander,Baker,Female,Texas,Austin,High School,02/07/1997,24/10/2020,,Customer Service,Help Desk Technician,68908.56,Excellent,30.2672,-97.7431
00-38241453,David,Smith,Female,Texas,Houston,Bachelor,06/06/1992,04/10/2017,,HR,HR Specialist,55389.13,Satisfactory,29.7604,-95.3698
00-67901847,Alexa,Durham,Female,California,San Diego,Master,13/12/1968,04/07/2016,20/09/2021,Operations,Inventory Specialist,78682.54,Needs Improvement,32.7157,-117.1611
00-42475976,Destiny,Leon,Female,Texas,Dallas,PhD,04/10/1985,10/06/2016,23/07/2021,Marketing,SEO Specialist,79882.96,Good,32.7767,-96.797
00-55738072,Roy,Skinner,Female,California,San Diego,Master,05/06/1970,17/12/2022,,Customer Service,Customer Support Specialist,53166.74,Excellent,32.7157,-117.1611
00-16046706,Sarah,Jones,Female,Texas,Austin,Bachelor,24/12/1995,07/10/2023,,Customer Service,Help Desk Technician,106670.55,Needs Improvement,30.2672,-97.7431
00-11388300,Daniel,Tran,Female,California,San Diego,Master,12/07/1984,09/10/2024,,HR,Recruiter,109206.13,Excellent,32.7157,-117.1611
00-72697019,Michele,Jensen,Female,California,Los Angeles,Master,02/04/1976,22/11/2024,26/11/2024,HR,HR Specialist,88426.39,Needs Improvement,34.0522,-118.2437
00-90203332,Jonathan,Brown,Female,California,San Francisco,High School,15/04/2002,20/08/2024,,Operations,Inventory Specialist,108771.56,Excellent,37.7749,-122.4194
00-89702771,David,Nelson,Male,California,San Francisco,Bachelor,13/08/1976,22/08/2020,19/04/2021,Customer Service,Help Desk Technician,90430.98,Good,37.7749,-122.4194
00-35024968,Brian,Huffman,Female,North Carolina,Charlotte,High School,16/07/1981,13/11/2015,07/10/2021,Marketing,SEO Specialist,47303.85,Satisfactory,35.2271,-80.8431
00-67565969,Samantha,Wright,Female,Texas,Austin,Bachelor,28/01/2000,20/02/2019,,HR,Recruiter,66944.82,Excellent,30.2672,-97.7431
00-37048530,William,Fuller,Female,North Carolina,Charlotte,High School,27/02/1977,30/06/2017,02/09/2022,Operations,Logistics Coordinator,40687.87,Satisfactory,35.2271,-80.8431
00-88892898,Ryan,Daniel,Female,North Carolina,Charlotte,PhD,26/06/1971,11/01/2017,02/02/2021,Finance,Accountant,112010.01,Satisfactory,35.2271,-80.8431
00-58344637,Jason,Flores,Male,Texas,Austin,Master,02/01/1989,16/02/2017,01/11/2021,HR,Training Coordinator,61139.69,Good,30.2672,-97.7431
00-45511687,Ian,Franco,Female,New York,New York City,Bachelor,26/06/1973,23/10/2020,,Operations,Logistics Coordinator,116556.69,Excellent,40.7128,-74.006
00-79662659,Jennifer,Barnes,Male,New York,New York City,Master,27/12/1968,05/02/2019,05/03/2021,Marketing,SEO Specialist,112960.9,Good,40.7128,-74.006
00-37968010,Crystal,Evans,Male,North Carolina,Charlotte,PhD,30/08/1971,24/10/2022,03/05/2023,IT,Software Engineer,88528.3,Needs Improvement,35.2271,-80.8431
00-71235701,Mark,Diaz,Female,California,San Diego,Bachelor,04/02/1991,10/06/2023,,Customer Service,Help Desk Technician,78989.7,Satisfactory,32.7157,-117.1611
00-53813438,Jason,Duffy,Female,New York,Buffalo,High School,28/08/1988,14/04/2018,20/09/2022,Operations,Logistics Coordinator,102945.16,Satisfactory,42.8864,-78.8784
00-86662924,Luis,Rogers,Male,Texas,Dallas,Master,07/06/1982,03/09/2023,10/06/2025,IT,Software Engineer,81830.4,Satisfactory,32.7767,-96.797
00-63562612,Brandon,Bell,Female,New York,Rochester,Bachelor,02/10/1983,20/01/2020,,Finance,Accountant,97508.99,Excellent,43.1566,-77.6088
00-40401558,Jane,Norris,Male,California,Los Angeles,PhD,01/11/1966,18/08/2023,,Marketing,SEO Specialist,51041.55,Satisfactory,34.0522,-118.2437
00-50736798,Tammy,Yates,Female,Texas,Dallas,Bachelor,21/01/1982,20/04/2019,18/04/2025,Finance,Accounts Payable Specialist,46073.76,Excellent,32.7767,-96.797
00-19822243,Gina,Phillips,Female,California,San Francisco,High School,25/09/1986,29/09/2016,,HR,HR Specialist,96726.38,Good,37.7749,-122.4194
00-91938006,Morgan,Rodriguez,Male,Texas,Houston,Master,23/06/1989,16/12/2018,,IT,System Administrator,80006.71,Needs Improvement,29.7604,-95.3698
00-72165212,Cheryl,Gregory,Female,California,San Francisco,High School,21/02/1965,07/07/2019,17/02/2025,HR,HR Specialist,116689.65,Needs Improvement,37.7749,-122.4194
00-73209895,Benjamin,Miles,Male,New York,Buffalo,High School,01/08/1984,02/08/2023,13/10/2023,Finance,Accounts Payable Specialist,72334.89,Needs Improvement,42.8864,-78.8784
00-44164049,Steven,Frederick,Male,North Carolina,Greensboro,Bachelor,13/07/1982,08/05/2024,20/02/2024,HR,HR Specialist,48666.71,Excellent,36.0726,-79.792
00-70288506,Benjamin,Smith,Female,New York,New York City,Bachelor,12/04/1977,21/01/2021,16/06/2021,Finance,Financial Analyst,106425.27,Satisfactory,40.7128,-74.006
00-51945293,Victoria,Miller,Male,Texas,Dallas,PhD,08/04/1996,08/10/2023,02/06/2023,HR,Recruiter,94053.42,Satisfactory,32.7767,-96.797
00-20274662,Heather,Howard,Male,California,San Diego,PhD,29/09/1978,03/12/2024,26/10/2021,Operations,Inventory Specialist,69375.47,Needs Improvement,32.7157,-117.1611
00-71169638,Michael,Mendez,Female,North Carolina,Raleigh,Master,05/02/1982,26/09/2015,18/09/2020,Finance,Accounts Payable Specialist,88299.87,Satisfactory,35.7796,-78.6382
00-83523321,Patricia,Sullivan,Male,New York,New York City,Bachelor,31/08/1990,21/04/2016,21/06/2025,Finance,Accounts Payable Specialist,44218.43,Good,40.7128,-74.006
00-47955497,Kyle,Ross,Male,North Carolina,Charlotte,PhD,18/05/1980,09/04/2025,12/11/2022,IT,System Administrator,108404.08,Needs Improvement,35.2271,-80.8431
00-94824930,Ashley,Miles,Male,New York,New York City,Master,01/01/1970,26/11/2015,,Operations,Logistics Coordinator,75851.78,Good,40.7128,-74.006
00-76067267,Luis,Hughes,Female,New York,Rochester,PhD,18/07/1973,06/06/2020,14/12/2022,Finance,Financial Analyst,64176.0,Excellent,43.1566,-77.6088
00-33377042,Jeffrey,Ray,Male,New York,Buffalo,Master,17/04/1989,25/02/2023,21/09/2023,Customer Service,Help Desk Technician,119611.8,Excellent,42.8864,-78.8784
00-54433656,Anna,Alexander,Male,North Carolina,Greensboro,High School,03/01/1997,21/06/2020,,Operations,Inventory Specialist,51044.36,Satisfactory,36.0726,-79.792
00-31799775,Kevin,Coleman,Male,California,Los Angeles,Bachelor,25/03/1999,29/11/2020,03/02/2024,Marketing,Marketing Coordinator,81280.66,Good,34.0522,-118.2437
00-36098788,Brooke,Rich,Female,New York,Rochester,High School,14/10/1992,17/07/2022,19/01/2025,IT,System Administrator,91669.07,Satisfactory,43.1566,-77.6088
00-47556476,Jennifer,Dunn,Male,New York,New York City,Master,20/12/1975,11/11/2018,,Operations,Operations Analyst,111568.85,Needs Improvement,40.7128,-74.006
00-60812805,Madison,Gutierrez,Male,Texas,Dallas,Master,14/01/2002,28/04/2024,14/02/2025,Customer Service,Help Desk Technician,112883.39,Satisfactory,32.7767,-96.797
00-98374874,Ryan,Powell,Female,California,Los Angeles,High School,01/11/1975,25/03/2020,,Marketing,SEO Specialist,103148.0,Excellent,34.0522,-118.2437
00-10364433,Jeremy,Baker,Female,Texas,Houston,PhD,14/09/1982,06/01/2021,02/07/2023,Operations,Operations Analyst,117911.41,Satisfactory,29.7604,-95.3698
00-56158759,Bruce,Porter,Female,North Carolina,Charlotte,Master,31/08/1971,18/02/2018,,Operations,Logistics Coordinator,73008.01,Needs Improvement,35.2271,-80.8431
00-80509225,Caleb,Duncan,Female,North Carolina,Charlotte,Master,18/01/1972,14/04/2020,,IT,System Administrator,85811.91,Needs Improvement,35.2271,-80.8431
00-65297005,Tamara,Choi,Female,North Carolina,Greensboro,PhD,27/10/1966,11/01/2023,,Operations,Inventory Specialist,113088.22,Excellent,36.0726,-79.792
00-13155234,David,Davis,Male,Texas,Dallas,Bachelor,16/02/1974,13/05/2019,24/02/2024,Operations,Operations Analyst,108821.58,Excellent,32.7767,-96.797
00-68533549,Robert,Young,Male,North Carolina,Charlotte,Master,07/05/1979,06/08/2019,,Finance,Accounts Payable Specialist,46314.2,Excellent,35.2271,-80.8431
00-36343166,Daniel,Guerra,Female,California,Los Angeles,Bachelor,31/10/1994,07/08/2024,30/06/2023,Customer Service,Customer Support Specialist,62693.91,Good,34.0522,-118.2437
00-65745982,Laura,Hughes,Female,Texas,Austin,Master,08/03/1972,03/02/2023,21/06/2024,Operations,Logistics Coordinator,85109.96,Good,30.2672,-97.7431
00-94438000,Derrick,Martinez,Female,Texas,Austin,PhD,10/04/1988,18/04/2023,18/04/2021,Customer Service,Customer Support Specialist,40447.46,Needs Improvement,30.2672,-97.7431
00-86142276,Timothy,Estrada,Female,Texas,Houston,Master,08/12/1999,21/06/2025,,Customer Service,Customer Support Specialist,50029.21,Satisfactory,29.7604,-95.3698
00-56924687,Douglas,Walker,Male,California,San Francisco,Bachelor,16/10/1978,01/05/2025,10/11/2022,HR,HR Specialist,77832.54,Excellent,37.7749,-122.4194
00-37910760,Diana,Allen,Male,New York,New York City,Bachelor,15/05/1994,08/03/2020,11/03/2025,Customer Service,Help Desk Technician,68097.42,Needs Improvement,40.7128,-74.006
00-98990794,Marc,Harris,Male,New York,Rochester,Bachelor,15/03/1989,10/01/2021,19/10/2022,HR,Recruiter,118991.94,Good,43.1566,-77.6088
00-81405261,Monique,Moore,Male,Texas,Houston,Master,18/01/1967,10/01/2025,,Finance,Financial Analyst,109854.75,Satisfactory,29.7604,-95.3698
00-64589706,Douglas,Williams,Male,Texas,Austin,High School,29/03/1999,27/10/2022,11/11/2020,Finance,Accounts Payable Specialist,114876.75,Satisfactory,30.2672,-97.7431
00-75057615,Ashley,Weber,Male,North Carolina,Raleigh,Bachelor,12/02/1969,11/07/2024,17/03/2022,HR,Recruiter,79119.04,Good,35.7796,-78.6382
00-96224313,Melissa,Lee,Male,New York,New York City,Bachelor,04/05/1966,26/06/2023,10/03/2023,Operations,Inventory Specialist,54279.98,Needs Improvement,40.7128,-74.006
00-45260729,Heather,Russell,Female,Texas,Houston,High School,17/07/1977,09/09/2020,,Finance,Accountant,118429.8,Excellent,29.7604,-95.3698
00-60933053,Christopher,Mendoza,Male,California,Los Angeles,Bachelor,18/10/1971,01/05/2017,03/03/2023,HR,Training Coordinator,117104.5,Good,34.0522,-118.2437
00-97402368,Sabrina,Roberts,Female,New York,Rochester,Master,23/11/1979,31/05/2019,12/10/2022,Operations,Inventory Specialist,105172.72,Needs Improvement,43.1566,-77.6088
00-33170840,Brianna,Miles,Female,New York,New York City,PhD,01/02/1973,17/06/2018,23/11/2022,Finance,Accountant,81592.33,Excellent,40.7128,-74.006
00-66899552,Jason,Rivas,Male,North Carolina,Charlotte,Bachelor,20/03/1982,23/12/2022,,Finance,Accountant,66460.1,Good,35.2271,-80.8431
00-22099651,James,Davis,Female,New York,Buffalo,Master,17/04/1997,23/07/2019,14/08/2025,Finance,Financial Analyst,113205.9,Satisfactory,42.8864,-78.8784
00-75446549,Joseph,Potter,Female,North Carolina,Raleigh,Bachelor,28/11/1978,14/09/2022,26/01/2025,Customer Service,Customer Support Specialist,106849.2,Good,35.7796,-78.6382
00-90512827,Sarah,Houston,Female,Texas,Houston,Bachelor,07/11/1995,17/01/2023,04/06/2023,Marketing,Content Strategist,47501.84,Good,29.7604,-95.3698
00-38195769,Nicholas,Frazier,Female,North Carolina,Raleigh,Master,31/10/1977,15/05/2020,,IT,Software Engineer,111345.67,Satisfactory,35.7796,-78.6382
00-71896133,Keith,Ochoa,Male,California,San Francisco,Master,07/07/1991,19/12/2019,02/02/2024,IT,Network Analyst,46246.61,Satisfactory,37.7749,-122.4194
00-85306304,Shelby,Merritt,Male,Texas,Dallas,PhD,24/06/1977,04/08/2021,,Operations,Operations Analyst,57851.34,Satisfactory,32.7767,-96.797
00-53434395,Mary,Brown,Female,California,San Diego,PhD,08/04/1986,13/05/2025,15/02/2024,Customer Service,Customer Support Specialist,61661.72,Good,32.7157,-117.1611
00-51085407,Jessica,Macias,Male,California,Los Angeles,PhD,15/07/1983,23/04/2017,04/08/2024,Customer Service,Customer Support Specialist,42180.36,Good,34.0522,-118.2437
00-86556709,Mikayla,Saunders,Male,New York,Rochester,PhD,15/08/1991,20/02/2017,,HR,Recruiter,108445.44,Good,43.1566,-77.6088
00-72913104,Charles,Howard,Female,New York,New York City,High School,15/06/1983,06/11/2024,11/12/2024,IT,System Administrator,56173.63,Excellent,40.7128,-74.006
00-47892373,Terri,Wilson,Male,California,Los Angeles,Master,05/09/1972,16/03/2022,17/02/2024,Marketing,Marketing Coordinator,47098.76,Satisfactory,34.0522,-118.2437
00-99672710,Joshua,Roberson,Male,California,Los Angeles,Bachelor,09/04/1985,08/10/2024,18/08/2020,Finance,Accounts Payable Specialist,116467.75,Needs Improvement,34.0522,-118.2437
00-28204958,Joseph,Rice,Male,North Carolina,Greensboro,PhD,18/07/2002,15/04/2020,,Customer Service,Help Desk Technician,105430.88,Good,36.0726,-79.792
00-61169016,Rebecca,Wagner,Female,New York,Buffalo,High School,11/02/1980,19/01/2018,,Marketing,Content Strategist,118359.92,Satisfactory,42.8864,-78.8784
00-40716526,Nancy,Gordon,Female,North Carolina,Greensboro,High School,11/06/1991,18/07/2019,01/11/2023,Finance,Financial Analyst,103876.82,Excellent,36.0726,-79.792
00-78475182,Jonathan,Smith,Male,Texas,Austin,High School,04/08/1985,03/01/2019,,IT,Software Engineer,74857.2,Needs Improvement,30.2672,-97.7431
00-17742436,Rachel,Roberts,Male,New York,Rochester,Bachelor,24/05/1983,12/03/2020,14/02/2024,Customer Service,Help Desk Technician,109568.11,Satisfactory,43.1566,-77.6088
00-60691078,Karen,Ford,Female,New York,Rochester,Bachelor,20/11/1989,21/08/2019,04/02/2024,HR,HR Specialist,114619.27,Satisfactory,43.1566,-77.6088
00-38006503,Erica,Mcclure,Female,Texas,Austin,Bachelor,31/01/1981,14/12/2018,,Customer Service,Customer Support Specialist,73001.24,Satisfactory,30.2672,-97.7431
00-27675077,Cynthia,Wright,Male,Texas,Houston,High School,24/03/1978,06/10/2018,04/07/2023,Customer Service,Customer Support Specialist,100339.53,Needs Improvement,29.7604,-95.3698
